rosbagTimestamp,iTOW,version,numSvs,reserved0,sv,-,gnssId,svId,cno,elev,azim,prRes,flags
1605260102325930897,466520300,1,2,"[0, 0]",,0,29,0,-91,0,0,1,0,31,25,-91,0,0,6420
1605260104325917381,466522300,1,2,"[0, 0]",,0,31,25,-91,0,0,6420,6,255,0,-91,0,0,1
1605260106325201758,466524300,1,2,"[0, 0]",,0,31,25,-91,0,0,6420,6,255,0,-91,0,0,1
1605260108326821941,466526300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605260110325990467,466528300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605260112324968633,466530300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605260114325595176,466532300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605260116324973335,466534300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605260118325220759,466536300,1,2,"[0, 0]",,0,2,0,-91,0,0,1,0,31,25,-91,0,0,6420
1605260120324640475,466538300,1,2,"[0, 0]",,0,2,0,-91,0,0,1,0,31,25,-91,0,0,6420
1605260122327922025,466540300,1,2,"[0, 0]",,0,2,0,-91,0,0,1,0,31,26,-91,0,0,6420
1605260124327031645,466542300,1,2,"[0, 0]",,0,2,0,-91,0,0,1,0,31,25,-91,0,0,6420
1605260126326868257,466544300,1,2,"[0, 0]",,0,2,0,-91,0,0,1,0,31,26,-91,0,0,6420
1605260128326071944,466546300,1,2,"[0, 0]",,0,2,0,-91,0,0,1,0,31,26,-91,0,0,6420
1605260130326819879,466548300,1,2,"[0, 0]",,0,2,0,-91,0,0,1,0,31,25,-91,0,0,6420
1605260132325825215,466550300,1,2,"[0, 0]",,0,2,0,-91,0,0,1,0,31,25,-91,0,0,6420
1605260134326329677,466552300,1,2,"[0, 0]",,0,2,0,-91,0,0,1,0,31,25,-91,0,0,6420
1605260136326069661,466554300,1,2,"[0, 0]",,0,2,0,-91,0,0,1,0,31,25,-91,0,0,6420
1605260138327208834,466556300,1,2,"[0, 0]",,0,2,0,-91,0,0,1,0,31,25,-91,0,0,6420
1605260140325611031,466558300,1,2,"[0, 0]",,0,2,0,-91,0,0,1,0,31,25,-91,0,0,6420
1605260142327646100,466560300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605260144325941720,466562300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605260146326529625,466564300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605260148328705712,466566300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605260150326111395,466568300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605260152328018119,466570300,1,1,"[0, 0]",,0,31,26,-91,0,0,6420
1605260154325896301,466572300,1,2,"[0, 0]",,0,31,25,-91,0,0,6420,6,255,0,-91,0,0,1
1605260156327589437,466574300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605260158326540539,466576300,1,1,"[0, 0]",,0,31,25,-91,0,0,6420
1605260160326484809,466578300,1,2,"[0, 0]",,0,31,25,-91,0,0,6420,2,19,0,-91,0,0,1
1605260162325835577,466580300,1,2,"[0, 0]",,0,31,26,-91,0,0,6420,2,19,0,-91,0,0,1
1605260164326796477,466582300,1,2,"[0, 0]",,0,31,25,-91,0,0,6420,2,19,0,-91,0,0,1
1605260166326927712,466584300,1,2,"[0, 0]",,0,22,0,-91,0,0,4113,0,31,25,-91,0,0,6420
1605260168327030890,466586300,1,2,"[0, 0]",,0,22,0,-91,0,0,4113,0,31,25,-91,0,0,6420
1605260170326205713,466588300,1,2,"[0, 0]",,0,22,0,-91,0,0,4113,0,31,26,-91,0,0,6420
1605260172325869314,466590300,1,2,"[0, 0]",,0,22,0,-91,0,0,4113,0,31,26,-91,0,0,6420
